gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
581,342,505,258,88,6,97,565,242,3,431,24,.235,1831,.331,.449,.780,2,3,.600,39,8913,2110,822,283,794,1,11,.283,0.68,1,18.88,89024.0
92,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155968.0
304,204,185,109,31,8,11,194,47,2,170,28,.231,735,.300,.340,.640,9,48,.842,10,3191,828,250,68,345,12,6,.297,1.10,0,66.82,13312.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971584.0
40,1,0,0,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,4,1,0,1,1,0,0,.000,1.00,0,0,804864.0
923,782,880,353,150,26,56,567,218,8,748,16,.254,2946,.306,.379,.685,39,96,.711,48,12111,3211,1118,317,1154,7,24,.295,0.89,0,52.61,347776.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224576.0
22,6,7,3,1,0,0,5,3,0,3,1,.150,20,.292,.200,.492,1,0,.000,0,97,25,4,0,13,1,0,.200,0.86,0,0,818368.0
101,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465088.0
1239,1130,1160,636,205,18,179,1126,450,15,1076,44,.242,4448,.315,.417,.732,17,34,.667,77,19103,4988,1854,582,1729,4,40,.282,0.97,2,24.85,772544.0
112,18,15,33,2,1,0,26,7,0,16,3,.216,74,.310,.270,.580,9,43,.827,0,338,85,20,1,29,1,0,.333,1.20,0,0,385344.0
1449,1625,1142,844,279,55,155,1210,322,18,1568,161,.285,5501,.341,.440,.781,98,356,.784,114,22648,6028,2422,640,2053,21,23,.340,1.42,0,35.49,743488.0
590,335,259,140,61,8,30,337,68,9,301,12,.248,1212,.294,.386,.680,10,21,.677,33,4772,1312,468,145,521,14,6,.318,1.29,0,40.40,302656.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463872.0
108,5,4,0,1,0,0,7,0,0,3,0,.167,18,.167,.222,.389,0,0,0,0,60,19,4,0,7,1,0,.273,1.25,0,0,428352.0
801,516,672,336,107,13,74,628,180,15,569,50,.241,2359,.306,.392,.698,27,95,.779,29,10334,2615,924,280,1005,4,22,.295,0.77,0,31.88,158656.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600960.0
127,1,0,0,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,1,1,0,0,1,0,0,.000,1.00,0,0,153344.0
141,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233088.0
172,118,105,59,12,5,12,160,27,0,110,4,.227,484,.273,.347,.620,5,19,.792,4,1911,524,168,46,211,7,2,.312,1.12,0,40.33,365568.0
218,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418240.0
311,1,0,1,0,0,0,0,0,0,1,0,.500,2,.500,.500,1.000,0,0,0,0,5,2,1,0,2,0,0,.500,1.00,0,0,69824.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806144.0
288,291,180,97,40,5,4,152,57,0,237,7,.281,844,.329,.354,.683,4,4,.500,28,3405,924,299,74,335,8,8,.335,1.62,0,211.00,957312.0
32,0,1,0,0,0,0,4,0,0,1,0,.167,6,.167,.167,.334,0,0,0,0,20,6,1,0,5,0,0,.500,0.00,0,0,446912.0
