gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player_numeric
154,0,0,0,0,0,0,2,0,0,1,0,.333,3,.333,.333,.666,0,0,0,0,8,3,1,0,0,0,0,1.000,0,0,0,689472.0
13,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131904.0
447,2,1,1,0,0,0,2,3,0,0,0,.000,4,.429,.000,.429,0,0,0,0,35,8,0,0,3,1,0,.000,2.00,0,0,589248.0
119,61,69,27,5,0,10,117,10,1,65,5,.211,308,.248,.325,.573,1,0,.000,11,1288,327,100,25,119,4,0,.304,0.88,0,30.80,699008.0
15,1,0,0,0,0,0,1,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,12,2,0,0,3,0,0,.000,1.00,0,0,447040.0
347,169,48,30,9,3,0,169,21,0,62,1,.151,410,.194,.188,.382,1,0,.000,4,1711,470,77,23,226,38,0,.257,3.52,0,0,219584.0
7,4,6,0,0,0,0,8,0,0,2,1,.100,20,.143,.100,.243,0,0,0,0,78,21,2,0,12,0,0,.167,0.67,0,0,82752.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856256.0
132,54,12,11,2,0,1,99,11,0,19,0,.111,171,.165,.140,.305,0,0,0,0,828,195,24,6,92,13,0,.254,4.50,0,171.00,946304.0
198,0,0,1,0,0,0,3,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,12,3,0,0,4,0,0,0,0,0,0,255936.0
1182,1041,819,514,204,27,109,1066,361,17,839,66,.225,3735,.303,.381,.684,18,69,.793,64,16382,4192,1424,449,1732,8,22,.283,1.27,0,34.27,974080.0
328,212,260,113,43,7,40,362,69,1,222,14,.211,1051,.268,.380,.648,14,22,.611,22,4644,1141,399,141,478,1,4,.279,0.82,2,26.28,104128.0
264,257,201,72,24,2,9,151,43,0,160,3,.213,751,.258,.286,.544,4,12,.750,14,2895,815,215,44,272,15,3,.254,1.28,0,83.44,859776.0
496,372,241,152,71,4,48,581,72,10,402,42,.253,1590,.302,.393,.695,5,18,.783,34,6143,1710,625,198,709,0,6,.366,1.54,0,33.12,335296.0
106,1,1,0,0,0,0,3,0,0,0,0,.000,5,.000,.000,.000,0,0,0,0,22,5,0,0,3,0,0,.000,1.00,0,0,509824.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57728.0
483,376,443,160,71,1,20,206,110,3,364,8,.265,1371,.322,.363,.685,9,26,.743,31,5797,1507,497,146,611,9,9,.298,0.85,0,68.55,228480.0
194,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964928.0
324,17,2,1,0,0,0,18,1,0,2,0,.065,31,.094,.065,.159,0,0,0,0,136,40,2,1,14,8,0,.154,8.50,0,0,564608.0
916,794,669,254,131,6,53,649,296,35,659,21,.241,2736,.318,.351,.669,5,8,.615,73,11597,3088,961,292,1171,18,17,.295,1.19,0,51.62,936448.0
51,4,2,0,1,0,0,19,0,0,2,1,.080,25,.115,.120,.235,0,0,0,0,107,28,3,0,6,2,0,.333,2.00,0,0,472384.0
194,155,114,55,17,4,22,175,51,1,124,8,.219,566,.292,.380,.672,7,6,.462,14,2447,627,215,59,272,0,2,.275,1.36,0,25.73,621312.0
23,2,3,0,0,0,0,6,0,0,0,0,.000,11,.000,.000,.000,0,0,0,0,33,11,0,0,4,0,0,.000,0.67,0,0,13120.0
47,21,29,16,3,0,3,41,17,1,17,4,.157,108,.295,.269,.564,1,0,.000,1,562,129,29,10,55,0,0,.219,0.72,0,36.00,115136.0
244,109,145,69,28,1,26,191,48,0,141,13,.242,582,.313,.428,.741,0,7,1.000,7,2689,647,249,77,248,1,3,.313,0.75,0,22.38,133760.0
392,0,0,0,0,0,0,1,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,402944.0
311,245,290,109,34,2,23,158,49,0,195,17,.224,870,.277,.347,.624,6,10,.625,25,3336,954,302,89,358,11,7,.247,0.84,0,37.83,114048.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248512.0
223,158,204,83,28,3,16,131,90,0,150,10,.237,634,.338,.366,.704,12,18,.600,6,3121,743,232,73,264,4,5,.272,0.77,0,39.62,926784.0
517,442,326,192,96,7,57,519,157,0,459,26,.265,1735,.333,.427,.760,1,1,.500,46,7740,1929,740,233,694,0,11,.344,1.36,0,30.44,969152.0
357,246,226,133,41,7,42,378,64,3,263,9,.238,1106,.283,.401,.684,4,8,.667,28,4444,1186,444,142,537,0,7,.319,1.09,0,26.33,791296.0
168,90,141,51,28,1,15,131,45,2,92,6,.205,448,.285,.373,.658,0,0,0,10,2002,506,167,54,185,3,3,.252,0.64,1,29.87,559872.0
259,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637760.0
64,0,0,0,0,0,0,3,0,0,0,0,.000,3,.000,.000,.000,0,0,0,0,10,3,0,0,3,0,0,0,0,0,0,828864.0
54,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400128.0
134,5,0,0,0,0,0,5,0,0,0,0,.000,10,.000,.000,.000,0,0,0,1,40,10,0,0,5,0,0,.000,5.00,0,0,506880.0
11,1,0,0,0,0,0,0,0,0,0,0,.000,1,.000,.000,.000,0,0,0,0,3,1,0,0,0,0,0,.000,1.00,0,0,656960.0
10,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894464.0
154,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530944.0
301,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998720.0
183,152,143,59,17,0,12,125,65,2,117,11,.223,525,.316,.324,.640,2,1,.333,16,2636,613,170,54,240,2,10,.264,1.06,0,43.75,134976.0
38,26,21,4,5,0,1,19,6,0,20,1,.235,85,.290,.329,.619,0,3,1.000,2,342,93,28,7,45,0,1,.288,1.24,0,85.00,659008.0
87,0,0,1,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117440.0
37,29,15,12,2,0,1,21,6,0,8,1,.113,71,.192,.183,.375,0,0,0,3,306,80,13,4,38,2,0,.143,1.93,0,71.00,833792.0
220,31,6,4,1,0,0,38,4,0,8,0,.100,80,.143,.113,.256,1,0,.000,2,338,87,9,3,53,3,0,.190,5.17,0,0,800384.0
122,19,1,1,1,0,0,15,1,0,2,0,.056,36,.081,.083,.164,0,0,0,1,115,38,3,0,19,1,0,.095,19.00,0,0,670912.0
57,24,24,8,5,0,2,47,8,3,23,1,.195,118,.252,.288,.540,0,0,0,3,480,127,34,7,60,0,0,.304,1.00,0,59.00,571584.0
26,1,0,0,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,0,0,9,3,2,0,0,1,0,1.000,1.00,0,0,959296.0
63,8,1,1,1,0,0,5,0,0,1,0,.083,12,.083,.167,.250,0,0,0,0,40,15,2,0,11,3,0,.143,8.00,0,0,510912.0
273,0,0,0,0,0,0,4,0,0,0,0,.000,4,.000,.000,.000,0,0,0,0,16,4,0,0,5,0,0,0,0,0,0,91456.0
2046,1767,1977,1305,512,31,347,1645,1015,136,2279,108,.300,7606,.387,.512,.899,31,98,.760,159,34174,8791,3894,1243,2886,0,62,.340,0.89,0,21.92,878336.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757888.0
9,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270144.0
258,0,0,0,0,0,0,2,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,687808.0
646,5,1,1,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,0,0,25,9,1,0,6,0,0,.143,5.00,0,0,212096.0
299,0,0,0,0,0,0,2,0,0,0,0,.000,2,.000,.000,.000,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,117248.0
117,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72384.0
130,53,23,8,3,0,1,46,9,0,19,0,.154,123,.209,.203,.412,1,1,.500,0,586,150,25,7,60,16,2,.231,2.30,0,123.00,177600.0
94,23,13,6,2,0,1,37,6,0,13,0,.167,78,.224,.231,.455,0,0,0,2,366,92,18,7,35,7,1,.293,1.77,0,78.00,305280.0
948,949,736,333,131,7,87,683,232,16,743,11,.241,3081,.295,.373,.668,16,43,.729,89,12734,3354,1149,335,1332,6,24,.281,1.29,0,35.41,256768.0
70,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896896.0
249,4,2,1,0,0,0,10,1,0,2,0,.118,17,.167,.118,.285,0,0,0,1,63,19,2,0,11,1,0,.286,2.00,0,0,346368.0
235,14,3,1,1,0,0,7,0,0,1,0,.048,21,.048,.095,.143,0,0,0,3,78,25,2,1,15,4,0,.071,4.67,0,0,767296.0
79,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580544.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112512.0
39,19,18,13,6,0,5,55,8,0,24,1,.207,116,.264,.388,.652,0,0,0,1,535,125,45,20,48,0,0,.339,1.06,0,23.20,139136.0
214,166,94,71,29,2,18,204,47,0,129,4,.219,589,.280,.367,.647,7,10,.588,16,2442,644,216,56,266,1,3,.300,1.77,0,32.72,514944.0
